exec_id,capability_scores,strategic_thinking,results_delivery,change_leadership,people_leadership,collaboration,competency_building,360_comments
SS001,"{'strategic_thinking': 4.2, 'results_delivery': 3.9, 'change_leadership': 4.0, 'people_leadership': 3.1, 'collaboration': 3.8, 'competency_building': 4.1}",4.2,3.9,4.0,3.1,3.8,4.1,Cross-pollinator extraordinaire; narrative power amplifying.
SS002,"{'strategic_thinking': 3.8, 'results_delivery': 4.1, 'change_leadership': 3.5, 'people_leadership': 4.5, 'collaboration': 4.0, 'competency_building': 3.9}",3.8,4.1,3.5,4.5,4.0,3.9,Reliable operator seeking broader strategic perspective.
SS003,"{'strategic_thinking': 4.5, 'results_delivery': 3.7, 'change_leadership': 4.3, 'people_leadership': 3.8, 'collaboration': 3.9, 'competency_building': 4.2}",4.5,3.7,4.3,3.8,3.9,4.2,Outstanding strategic vision but needs to delegate more effectively.
SS004,"{'strategic_thinking': 3.2, 'results_delivery': 4.0, 'change_leadership': 3.9, 'people_leadership': 4.2, 'collaboration': 3.7, 'competency_building': 3.6}",3.2,4.0,3.9,4.2,3.7,3.6,Outcome propulsion engine; relational leadership deepening.
SS005,"{'strategic_thinking': 4.1, 'results_delivery': 3.8, 'change_leadership': 4.4, 'people_leadership': 3.9, 'collaboration': 4.2, 'competency_building': 3.7}",4.1,3.8,4.4,3.9,4.2,3.7,Team performance architect; execution finesse developing.
SS006,"{'strategic_thinking': 4.6, 'results_delivery': 3.9, 'change_leadership': 4.2, 'people_leadership': 3.4, 'collaboration': 3.8, 'competency_building': 4.0}",4.6,3.9,4.2,3.4,3.8,4.0,Consistent result deliverer; visionary thinking evolving.
SS007,"{'strategic_thinking': 4.3, 'results_delivery': 4.0, 'change_leadership': 4.1, 'people_leadership': 3.7, 'collaboration': 4.1, 'competency_building': 4.3}",4.3,4.0,4.1,3.7,4.1,4.3,Evolution navigator; partnership architecture.
SS008,"{'strategic_thinking': 4.7, 'results_delivery': 3.8, 'change_leadership': 4.4, 'people_leadership': 3.5, 'collaboration': 3.9, 'competency_building': 4.1}",4.7,3.8,4.4,3.5,3.9,4.1,Cultural architect requiring stronger results orientation.
SS009,"{'strategic_thinking': 4.0, 'results_delivery': 4.2, 'change_leadership': 3.9, 'people_leadership': 3.9, 'collaboration': 4.0, 'competency_building': 3.8}",4.0,4.2,3.9,3.9,4.0,3.8,Vision mobilization expert; operational alchemy.
SS010,"{'strategic_thinking': 4.5, 'results_delivery': 3.9, 'change_leadership': 4.3, 'people_leadership': 3.6, 'collaboration': 4.2, 'competency_building': 4.2}",4.5,3.9,4.3,3.6,4.2,4.2,Adaptive transformation guide; technical specialization deepening.
SS011,"{'strategic_thinking': 3.7, 'results_delivery': 4.0, 'change_leadership': 3.8, 'people_leadership': 4.6, 'collaboration': 4.3, 'competency_building': 4.0}",3.7,4.0,3.8,4.6,4.3,4.0,Transformative change leader with developing people skills.
SS012,"{'strategic_thinking': 3.9, 'results_delivery': 3.9, 'change_leadership': 4.0, 'people_leadership': 4.4, 'collaboration': 4.1, 'competency_building': 3.9}",3.9,3.9,4.0,4.4,4.1,3.9,Alliance architect; strategic tempo accelerating.
SS013,"{'strategic_thinking': 3.5, 'results_delivery': 4.1, 'change_leadership': 3.7, 'people_leadership': 4.7, 'collaboration': 4.4, 'competency_building': 4.1}",3.5,4.1,3.7,4.7,4.4,4.1,Capability ecosystem builder; vision boldness increasing.
SS014,"{'strategic_thinking': 4.1, 'results_delivery': 4.0, 'change_leadership': 4.2, 'people_leadership': 4.3, 'collaboration': 4.0, 'competency_building': 3.8}",4.1,4.0,4.2,4.3,4.0,3.8,Exceptional team empowerer; execution pace could accelerate.
SS015,"{'strategic_thinking': 3.8, 'results_delivery': 3.8, 'change_leadership': 3.9, 'people_leadership': 4.5, 'collaboration': 4.2, 'competency_building': 4.0}",3.8,3.8,3.9,4.5,4.2,4.0,Team alchemy maestro; strategic bandwidth expansion.
SS016,"{'strategic_thinking': 4.0, 'results_delivery': 4.0, 'change_leadership': 4.0, 'people_leadership': 4.0, 'collaboration': 4.0, 'competency_building': 4.0}",4.0,4.0,4.0,4.0,4.0,4.0,Execution reliability personified; leadership gravitas growing.
SS017,"{'strategic_thinking': 4.1, 'results_delivery': 3.9, 'change_leadership': 4.1, 'people_leadership': 4.1, 'collaboration': 3.9, 'competency_building': 4.1}",4.1,3.9,4.1,4.1,3.9,4.1,Institutional redesigner; tactical precision refining.
SS018,"{'strategic_thinking': 3.9, 'results_delivery': 4.1, 'change_leadership': 3.9, 'people_leadership': 4.0, 'collaboration': 4.1, 'competency_building': 3.9}",3.9,4.1,3.9,4.0,4.1,3.9,Capability constellation builder; collaborative alchemy.
SS019,"{'strategic_thinking': 4.2, 'results_delivery': 4.0, 'change_leadership': 4.0, 'people_leadership': 3.9, 'collaboration': 4.0, 'competency_building': 4.2}",4.2,4.0,4.0,3.9,4.0,4.2,Strategic foresight pioneer; empowerment mastery.
SS020,"{'strategic_thinking': 3.8, 'results_delivery': 4.2, 'change_leadership': 4.1, 'people_leadership': 4.1, 'collaboration': 3.8, 'competency_building': 3.9}",3.8,4.2,4.1,4.1,3.8,3.9,Strategic intellect; collaboration networks expanding.
SS021,"{'strategic_thinking': 3.2, 'results_delivery': 3.5, 'change_leadership': 3.4, 'people_leadership': 3.0, 'collaboration': 3.2, 'competency_building': 3.3}",3.2,3.5,3.4,3.0,3.2,3.3,Innovation catalyst; stakeholder orchestration maturing.
SS022,"{'strategic_thinking': 3.6, 'results_delivery': 3.7, 'change_leadership': 3.5, 'people_leadership': 3.8, 'collaboration': 3.6, 'competency_building': 3.5}",3.6,3.7,3.5,3.8,3.6,3.5,Talent incubator; strategic aperture widening.
SS023,"{'strategic_thinking': 3.4, 'results_delivery': 3.6, 'change_leadership': 3.3, 'people_leadership': 3.5, 'collaboration': 3.4, 'competency_building': 3.4}",3.4,3.6,3.3,3.5,3.4,3.4,Matrix influencer; execution cadence strengthening.
SS024,"{'strategic_thinking': 3.7, 'results_delivery': 3.8, 'change_leadership': 3.6, 'people_leadership': 3.9, 'collaboration': 3.7, 'competency_building': 3.6}",3.7,3.8,3.6,3.9,3.7,3.6,Premier collaborator needing strategic depth.
SS025,"{'strategic_thinking': 3.3, 'results_delivery': 3.4, 'change_leadership': 3.2, 'people_leadership': 3.6, 'collaboration': 3.3, 'competency_building': 3.4}",3.3,3.4,3.2,3.6,3.3,3.4,Organizational transformer; people leadership maturing.
